adresse,postnummer,by,pris,type,kvm,vaerelser,byggeaar,energimaerke,liggetid,afstand_m,afstand_vindm_m,afstand_sol_m,lat,lng,url
"Hulager 15, Hjarbæk",8831,Løgstrup,2600000,Fritidshus,41,3.0,2016,-,148,32.3,4444.0,2652.0,56.53935,9.33326,https://www.boliga.dk/adresse/hulager-15-8831-loegstrup-193270116
"Vang 68, Vang",3790,Hasle,8450000,Fritidshus,134,4.0,1897,C,21,32.9,3704.0,662.0,55.24936,14.73772,https://www.boliga.dk/adresse/vang-68-3790-hasle-1812069197
Ny Holstensprøve 8,5600,Faaborg,3795000,Fritidshus,83,4.0,1950,-,373,32.9,6494.0,7450.0,55.08035,10.28427,https://www.boliga.dk/adresse/ny-holstensproeve-8-5600-faaborg-1837360607
"Løkkevænget 19, Hasmark Strand",5450,Otterup,4600000,Fritidshus,36,5.0,1931,-,9,33.1,2929.0,9236.0,55.56412,10.45924,https://www.boliga.dk/adresse/loekkevaenget-19-5450-otterup-1167410784
Gl Strandvej 15,5500,Middelfart,8500000,Villa/Parcelhus,198,7.0,1910,D,44,33.1,3158.0,837.0,55.50993,9.75461,https://www.boliga.dk/adresse/gl-strandvej-15-5500-middelfart-613543460
Fjordvejen 106,6340,Kruså,9800000,Villa/Parcelhus,187,5.0,1910,K,33,33.2,3410.0,3634.0,54.86369,9.50029,https://www.boliga.dk/adresse/fjordvejen-106-6340-krusaa-919375443
"Rådstuestræde 3, st.. 4., Sandvig",3770,Allinge,3895000,Fritidshus,68,3.0,1979,-,131,33.5,7543.0,2409.0,55.28908,14.78054,https://www.boliga.dk/adresse/raadstuestraede-3-st-4-3770-allinge-1675818158
Rågevej 21,4281,Gørlev,6450000,Fritidshus,82,3.0,2003,-,372,33.6,659.0,4833.0,55.50607,11.16137,https://www.boliga.dk/adresse/raagevej-21-4281-goerlev-819996614
"Teglgårdsvej 25, st. tv",7620,Lemvig,2495000,Fritidshus,99,3.0,2007,B,63,33.6,2547.0,2987.0,56.5542,8.30862,https://www.boliga.dk/adresse/teglgaardsvej-25-st-tv-7620-lemvig-2058394971
"Vestre Strandvej 35, Hasmark Strand",5450,Otterup,4277000,Fritidshus,97,4.0,1934,-,92,33.6,2853.0,9427.0,55.5671,10.45307,https://www.boliga.dk/adresse/vestre-strandvej-35-5450-otterup-872403122
